"name","year","quarter","month","sum"
"Bangladesh",2005,1,"February",149.0
"Bangladesh",2005,1,"January",22.0
"Bangladesh",2005,1,"March",103.0
"Bangladesh",2005,1,NULL,274.0
"Bangladesh",2005,2,"April",207.0
"Bangladesh",2005,2,"June",35.0
"Bangladesh",2005,2,"May",221.0
"Bangladesh",2005,2,NULL,463.0
"Bangladesh",2005,3,"August",102.0
"Bangladesh",2005,3,"July",23.0
"Bangladesh",2005,3,"September",16.0
"Bangladesh",2005,3,NULL,141.0
"Bangladesh",2005,4,"December",0
"Bangladesh",2005,4,"November",0
"Bangladesh",2005,4,"October",19.0
"Bangladesh",2005,4,NULL,19.0
"Bangladesh",2005,NULL,NULL,897.0
"Bangladesh",2006,1,"February",85.0
"Bangladesh",2006,1,"January",18.0
"Bangladesh",2006,1,"March",4.0
"Bangladesh",2006,1,NULL,107.0
"Bangladesh",2006,2,"April",70.0
"Bangladesh",2006,2,"June",0
"Bangladesh",2006,2,"May",0
"Bangladesh",2006,2,NULL,70.0
"Bangladesh",2006,3,"August",0
"Bangladesh",2006,3,"July",32.0
"Bangladesh",2006,3,"September",0
"Bangladesh",2006,3,NULL,32.0
"Bangladesh",2006,4,"December",0
"Bangladesh",2006,4,"November",0
"Bangladesh",2006,4,"October",175.0
"Bangladesh",2006,4,NULL,175.0
"Bangladesh",2006,NULL,NULL,384.0
"Bangladesh",2007,1,"February",0
"Bangladesh",2007,1,"January",41.0
"Bangladesh",2007,1,"March",0
"Bangladesh",2007,1,NULL,41.0
"Bangladesh",2007,2,"April",0
"Bangladesh",2007,2,"June",120.0
"Bangladesh",2007,2,"May",41.0
"Bangladesh",2007,2,NULL,161.0
"Bangladesh",2007,3,"August",1110.0
"Bangladesh",2007,3,"July",0
"Bangladesh",2007,3,"September",0
"Bangladesh",2007,3,NULL,1110.0
"Bangladesh",2007,4,"December",0
"Bangladesh",2007,4,"November",4258.0
"Bangladesh",2007,4,"October",86.0
"Bangladesh",2007,4,NULL,4344.0
"Bangladesh",2007,NULL,NULL,5656.0
"Bangladesh",2008,1,"February",53.0
"Bangladesh",2008,1,"January",0
"Bangladesh",2008,1,"March",12.0
"Bangladesh",2008,1,NULL,65.0
"Bangladesh",2008,2,"April",0
"Bangladesh",2008,2,"June",0
"Bangladesh",2008,2,"May",0
"Bangladesh",2008,2,NULL,0
"Bangladesh",2008,3,"August",13.0
"Bangladesh",2008,3,"July",16.0
"Bangladesh",2008,3,"September",12.0
"Bangladesh",2008,3,NULL,41.0
"Bangladesh",2008,4,"December",0
"Bangladesh",2008,4,"November",0
"Bangladesh",2008,4,"October",15.0
"Bangladesh",2008,4,NULL,15.0
"Bangladesh",2008,NULL,NULL,121.0
"Bangladesh",2009,1,"February",37.0
"Bangladesh",2009,1,"January",0
"Bangladesh",2009,1,"March",0
"Bangladesh",2009,1,NULL,37.0
"Bangladesh",2009,2,"April",7.0
"Bangladesh",2009,2,"June",0
"Bangladesh",2009,2,"May",190.0
"Bangladesh",2009,2,NULL,197.0
"Bangladesh",2009,3,"August",0
"Bangladesh",2009,3,"July",16.0
"Bangladesh",2009,3,"September",0
"Bangladesh",2009,3,NULL,16.0
"Bangladesh",2009,4,"December",53.0
"Bangladesh",2009,4,"November",91.0
"Bangladesh",2009,4,"October",14.0
"Bangladesh",2009,4,NULL,158.0
"Bangladesh",2009,NULL,NULL,408.0
"Bangladesh",2010,1,"February",21.0
"Bangladesh",2010,1,"January",17.0
"Bangladesh",2010,1,"March",0
"Bangladesh",2010,1,NULL,38.0
"Bangladesh",2010,2,"April",11.0
"Bangladesh",2010,2,"June",229.0
"Bangladesh",2010,2,"May",15.0
"Bangladesh",2010,2,NULL,255.0
"Bangladesh",2010,3,"August",0
"Bangladesh",2010,3,"July",0
"Bangladesh",2010,3,"September",0
"Bangladesh",2010,3,NULL,0
"Bangladesh",2010,4,"December",62.0
"Bangladesh",2010,4,"November",0
"Bangladesh",2010,4,"October",15.0
"Bangladesh",2010,4,NULL,77.0
"Bangladesh",2010,NULL,NULL,370.0
